,DrugName,ActiveIngredient
19883,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE
19943,OXCARBAZEPINE,OXCARBAZEPINE
19967,LEVALBUTEROL HYDROCHLORIDE,LEVALBUTEROL HYDROCHLORIDE
19980,APRACLONIDINE HYDROCHLORIDE,APRACLONIDINE HYDROCHLORIDE
20068,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM
20101,NADOLOL AND BENDROFLUMETHIAZIDE,BENDROFLUMETHIAZIDE; NADOLOL
20112,PENTOSTATIN,PENTOSTATIN
20117,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE
20118,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE
20170,SOJOURN,SEVOFLURANE
20193,MELOXICAM,MELOXICAM
20322,AZELASTINE HYDROCHLORIDE,AZELASTINE HYDROCHLORIDE
20366,GEMCITABINE HYDROCHLORIDE,GEMCITABINE HYDROCHLORIDE
20393,FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
20395,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM
20417,VALSARTAN AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; VALSARTAN
20438,ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE
20492,ANASTROZOLE,ANASTROZOLE
20495,LINEZOLID,LINEZOLID
20552,TECHNETIUM TC 99M SESTAMIBI,TECHNETIUM TC-99M SESTAMIBI KIT
20624,PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE
20641,"BUTALBITAL, ASPIRIN AND CAFFEINE",ASPIRIN; BUTALBITAL; CAFFEINE
20715,LETROZOLE,LETROZOLE
20721,RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE
20738,NAPHAZOLINE HYDROCHLORIDE AND PHENIRAMINE MALEATE,NAPHAZOLINE HYDROCHLORIDE; PHENIRAMINE MALEATE
20755,SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE,FERRIC OXYHYDROXIDE
20815,TECHNETIUM TC-99M MEBROFENIN,TECHNETIUM TC-99M MEBROFENIN KIT
20859,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
20870,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL
20895,DRONABINOL,DRONABINOL
20898,Oxybutynin Chloride,Oxybutynin Chloride
20938,OXYCODONE HYDROCHLORIDE AND IBUPROFEN,IBUPROFEN; OXYCODONE HYDROCHLORIDE
20952,ESTRADIOL AND NORETHINDRONE ACETATE,ESTRADIOL; NORETHINDRONE ACETATE
20967,GRANISOL,GRANISETRON HYDROCHLORIDE
20976,IMATINIB MESYLATE,IMATINIB MESYLATE
20990,OLOPATADINE HYDROCHLORIDE,OLOPATADINE HYDROCHLORIDE
20991,DESLORATADINE,DESLORATADINE
21001,DESLORATADINE AND PSEUDOEPHEDRINE SULFATE 24 HOUR,DESLORATADINE; PSEUDOEPHEDRINE SULFATE
21004,FOMEPIZOLE,FOMEPIZOLE
21011,GILDAGIA,ETHINYL ESTRADIOL; NORETHINDRONE
21012,REVONTO,DANTROLENE SODIUM
21044,EPOPROSTENOL SODIUM,EPOPROSTENOL SODIUM
21068,FLUVASTATIN SODIUM,FLUVASTATIN SODIUM
21138,POTASSIUM CHLORIDE 0.149% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,POTASSIUM CHLORIDE; SODIUM CHLORIDE
21165,GEMCITABINE,GEMCITABINE
21183,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE
21200,ZOLEDRONIC ACID,ZOLEDRONIC ACID
21211,EPLERENONE,EPLERENONE
21252,ELIPHOS,CALCIUM ACETATE
21278,ROCURONIUM BROMIDE,ROCURONIUM BROMIDE
21322,IMIQUIMOD,IMIQUIMOD
21346,EZETIMIBE,EZETIMIBE
21351,MIVACURIUM CHLORIDE,MIVACURIUM CHLORIDE
21369,LEVOFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,LEVOFLOXACIN
21375,ARIPIPRAZOLE,ARIPIPRAZOLE
21401,ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE
21409,MONTELUKAST SODIUM,MONTELUKAST SODIUM
21490,DEXBROMPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE SULFATE,DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
21511,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM
21558,CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY,CETIRIZINE HYDROCHLORIDE
21569,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL
21591,ROSIGLITAZONE MALEATE AND GLIMEPIRIDE,GLIMEPIRIDE; ROSIGLITAZONE MALEATE
21596,TELMISARTAN,TELMISARTAN
21601,INDOMETHACIN SODIUM,INDOMETHACIN SODIUM
21620,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE
21650,MALATHION,MALATHION
21661,NARATRIPTAN,NARATRIPTAN HYDROCHLORIDE
21713,ATAZANAVIR SULFATE,ATAZANAVIR SULFATE
21741,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE
21745,ASPIRIN AND DIPYRIDAMOLE,ASPIRIN; DIPYRIDAMOLE
21776,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL
21787,SCOPOLAMINE,SCOPOLAMINE
21793,LEVONORGESTREL AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; LEVONORGESTREL
21861,OMEPRAZOLE MAGNESIUM,OMEPRAZOLE MAGNESIUM
21862,TEMOZOLOMIDE,TEMOZOLOMIDE
21930,GUAIFENESIN,GUAIFENESIN
21932,PROTRIPTYLINE HYDROCHLORIDE,PROTRIPTYLINE HYDROCHLORIDE
21971,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE
21977,ENTACAPONE,ENTACAPONE
21992,IBANDRONATE SODIUM,IBANDRONATE SODIUM
22015,PRILOCAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,EPINEPHRINE BITARTRATE; PRILOCAINE HYDROCHLORIDE
22026,OMEPRAZOLE AND SODIUM BICARBONATE,OMEPRAZOLE; SODIUM BICARBONATE
22092,ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE
22163,OXYMORPHONE HYDROCHLORIDE,OXYMORPHONE HYDROCHLORIDE
22183,NISOLDIPINE,NISOLDIPINE
22195,INTROVALE,ETHINYL ESTRADIOL; LEVONORGESTREL
22210,LOPINAVIR; RITONAVIR,LOPINAVIR; RITONAVIR
22223,GATIFLOXACIN,GATIFLOXACIN
22224,"CARBIDOPA, LEVODOPA AND ENTACAPONE",CARBIDOPA; ENTACAPONE; LEVODOPA
22258,ALTAVERA,ETHINYL ESTRADIOL; LEVONORGESTREL
22279,IBUPROFEN AND DIPHENHYDRAMINE CITRATE,DIPHENHYDRAMINE CITRATE; IBUPROFEN
22303,TRANDOLAPRIL AND VERAPAMIL HYDROCHLORIDE,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE
22309,ARTICAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
22317,ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM
22403,EMTRICITABINE,EMTRICITABINE
22439,LORYNA,DROSPIRENONE; ETHINYL ESTRADIOL
22441,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE
22454,LAX-LYTE WITH FLAVOR PACKS,POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
22460,PRILOCAINE HYDROCHLORIDE,PRILOCAINE HYDROCHLORIDE
22471,ABACAVIR SULFATE AND LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE
22472,MONOBASIC SODIUM PHOSPHATE AND DIBASIC SODIUM PHOSPHATE,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE"
22474,NITROFURANTOIN,NITROFURANTOIN
22476,SULFOSE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
22480,FURALAN,NITROFURANTOIN
22482,ISOPTO CETAMIDE,SULFACETAMIDE SODIUM
22483,CETAMIDE,SULFACETAMIDE SODIUM
22484,SULFACEL-15,SULFACETAMIDE SODIUM
22485,SULF-10,SULFACETAMIDE SODIUM
22486,ALCAINE,PROPARACAINE HYDROCHLORIDE
22487,BLEPH-10,SULFACETAMIDE SODIUM
22488,BLEPH-30,SULFACETAMIDE SODIUM
22490,SOSOL,SULFISOXAZOLE
22491,SULSOXIN,SULFISOXAZOLE
22494,PROPOXYPHENE COMPOUND 65,ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
22495,NEOPASALATE,AMINOSALICYLATE SODIUM; AMINOSALICYLIC ACID
22498,SULFA-TRIPLE #2,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
22500,SULFISOXAZOLE,SULFISOXAZOLE
22503,TRIPLE SULFA,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
22506,TRIPLE SULFOID,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
22507,SODIUM AMINOSALICYLATE,AMINOSALICYLATE SODIUM
22508,POTASSIUM AMINOSALICYLATE,POTASSIUM AMINOSALICYLATE
22509,SULFALOID,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
22513,LANTRISUL,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
22514,STANOZIDE,ISONIAZID
22518,HYZYD,ISONIAZID
22521,SODIUM P.A.S.,AMINOSALICYLATE SODIUM
22522,LANIAZID,ISONIAZID
22527,PYRAZINAMIDE,PYRAZINAMIDE
22530,TESTOSTERONE PROPIONATE,TESTOSTERONE PROPIONATE
22550,METHYLTESTOSTERONE,METHYLTESTOSTERONE
22555,SERVISONE,PREDNISONE
22556,SORBITOL-MANNITOL,MANNITOL; SORBITOL
22559,NAPHCON FORTE,NAPHAZOLINE HYDROCHLORIDE
22561,VASOCON,NAPHAZOLINE HYDROCHLORIDE
22564,ALBALON,NAPHAZOLINE HYDROCHLORIDE
22569,PROMPT PHENYTOIN SODIUM,PHENYTOIN SODIUM
22574,PROKLAR,SULFAMETHIZOLE
22578,ORETON,METHYLTESTOSTERONE
22582,DELTA-DOME,PREDNISONE
22585,CORTALONE,PREDNISOLONE
22602,DOW-ISONIAZID,ISONIAZID
22635,SOXAZOLE,SULFISOXAZOLE
22642,LIDOCAINE HYDROCHLORIDE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
22646,BAMATE,MEPROBAMATE
22648,TREMIN,TRIHEXYPHENIDYL HYDROCHLORIDE
22650,PROCAINE HYDROCHLORIDE,PROCAINE HYDROCHLORIDE
22681,LTA II KIT,LIDOCAINE HYDROCHLORIDE
22695,TEXACORT,HYDROCORTISONE
22696,CETACORT,HYDROCORTISONE
22698,ANESTACON,LIDOCAINE HYDROCHLORIDE
22699,METARAMINOL BITARTRATE,METARAMINOL BITARTRATE
22700,HC #1,HYDROCORTISONE
22701,HC #4,HYDROCORTISONE
22707,NUTRACORT,HYDROCORTISONE
22732,ELDECORT,HYDROCORTISONE
22733,HYTONE,HYDROCORTISONE
22742,HC (HYDROCORTISONE),HYDROCORTISONE
22746,HI-COR,HYDROCORTISONE
22761,CARMOL HC,HYDROCORTISONE ACETATE
22769,SODIUM SUCCINATE,SODIUM SUCCINATE
22778,DOLENE,PROPOXYPHENE HYDROCHLORIDE
22786,VIBISONE,CYANOCOBALAMIN
22794,RUVITE,CYANOCOBALAMIN
22797,PYRIDOXINE HYDROCHLORIDE,PYRIDOXINE HYDROCHLORIDE
22807,DIPHENHYDRAMINE HYDROCHLORIDE PRESERVATIVE FREE,DIPHENHYDRAMINE HYDROCHLORIDE
22826,OCUSULF-10,SULFACETAMIDE SODIUM
22827,OCUSULF-30,SULFACETAMIDE SODIUM
22831,PIPERAZINE CITRATE,PIPERAZINE CITRATE
22848,VITAMIN A,VITAMIN A PALMITATE
22849,VITAMIN D,ERGOCALCIFEROL
22850,ALA-CORT,HYDROCORTISONE
22855,TRIPELENNAMINE HYDROCHLORIDE,TRIPELENNAMINE HYDROCHLORIDE
22874,ARISTOCORT,TRIAMCINOLONE ACETONIDE
22875,ARISTOCORT A,TRIAMCINOLONE ACETONIDE
22882,INFLAMASE MILD,PREDNISOLONE SODIUM PHOSPHATE
22883,INFLAMASE FORTE,PREDNISOLONE SODIUM PHOSPHATE
22889,PROCAINE HYDROCHLORIDE W/ EPINEPHRINE,EPINEPHRINE; PROCAINE HYDROCHLORIDE
22900,ALPHAREDISOL,HYDROXOCOBALAMIN
22915,PYRILAMINE MALEATE,PYRILAMINE MALEATE
22917,HALOTHANE,HALOTHANE
22920,VITAMIN A PALMITATE,VITAMIN A PALMITATE
22926,DEL-VI-A,VITAMIN A PALMITATE
22937,PHENETRON,CHLORPHENIRAMINE MALEATE
22941,BETALIN S,THIAMINE HYDROCHLORIDE
22942,HEXA-BETALIN,PYRIDOXINE HYDROCHLORIDE
22943,BETALIN 12,CYANOCOBALAMIN
22945,DIPHENYLAN SODIUM,PHENYTOIN SODIUM
22955,ALPHALIN,VITAMIN A PALMITATE
22956,DELTALIN,ERGOCALCIFEROL
22962,TESTOPEL,TESTOSTERONE
22964,VITAMIN A SOLUBILIZED,VITAMIN A PALMITATE
22965,ISOCAINE HYDROCHLORIDE,MEPIVACAINE HYDROCHLORIDE
22966,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE
22972,INH,ISONIAZID
22979,P.A.S. SODIUM,AMINOSALICYLATE SODIUM
22984,VITAMIN A,VITAMIN A
22990,PROBALAN,PROBENECID
22994,VI-DOM-A,VITAMIN A PALMITATE
23000,SONAZINE,CHLORPROMAZINE HYDROCHLORIDE
23003,VERMIDOL,PIPERAZINE CITRATE
23004,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE
23006,STRIFON FORTE DSC,CHLORZOXAZONE
23012,THEO-24,THEOPHYLLINE
23029,"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE
23033,ERGOLOID MESYLATES,ERGOLOID MESYLATES
23041,AMINOPHYLLINE,AMINOPHYLLINE
23042,METHOCARBAMOL AND ASPIRIN,ASPIRIN; METHOCARBAMOL
23062,CYCRIN,MEDROXYPROGESTERONE ACETATE
23064,FOLEX PFS,METHOTREXATE SODIUM
23073,HEMSOL-HC,HYDROCORTISONE ACETATE
23076,ESTRACE,ESTRADIOL
23093,ORASONE,PREDNISONE
23097,PROCTOCORT,HYDROCORTISONE
23098,DERMACORT,HYDROCORTISONE
23099,COBAVITE,CYANOCOBALAMIN
23106,SODIUM SULFACETAMIDE,SULFACETAMIDE SODIUM
23109,DODEX,CYANOCOBALAMIN
23113,PREDNISOLONE ACETATE,PREDNISOLONE ACETATE
23130,AQUASOL A,VITAMIN A
23141,PROPOXYPHENE COMPOUND-65,ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
23146,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE
23149,BROMPHENIRAMINE MALEATE,BROMPHENIRAMINE MALEATE
23152,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE
23170,LIDOCAINE HYDROCHLORIDE 0.2% IN DEXTROSE 5%,LIDOCAINE HYDROCHLORIDE
23171,LIDOCAINE HYDROCHLORIDE 0.4% IN DEXTROSE 5%,LIDOCAINE HYDROCHLORIDE
23177,REMSED,PROMETHAZINE HYDROCHLORIDE
23188,AFAXIN,VITAMIN A PALMITATE
23194,ORABASE HCA,HYDROCORTISONE ACETATE
23195,BENZTHIAZIDE,BENZTHIAZIDE
23197,ESTRATAB,"ESTROGENS, ESTERIFIED"
23198,PRAMOSONE,HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE
23202,EPICORT,HYDROCORTISONE
23203,OGEN .625,ESTROPIPATE
23204,OGEN 1.25,ESTROPIPATE
23205,OGEN 2.5,ESTROPIPATE
23206,OGEN 5,ESTROPIPATE
23207,PROBENECID W/ COLCHICINE,COLCHICINE; PROBENECID
23208,ALA-SCALP,HYDROCORTISONE
23210,GLUTETHIMIDE,GLUTETHIMIDE
23212,SODIUM PENTOBARBITAL,PENTOBARBITAL SODIUM
23214,AMEN,MEDROXYPROGESTERONE ACETATE
23216,NEMBUTAL,PENTOBARBITAL
23217,NEMBUTAL SODIUM,PENTOBARBITAL SODIUM
23219,NEMBUTAL,PENTOBARBITAL SODIUM
23224,ALCOHOL 5% IN DEXTROSE 5% IN WATER,ALCOHOL; DEXTROSE
23227,SECOBARBITAL SODIUM,SECOBARBITAL SODIUM
23228,ALCOHOL 5% IN D5-W,ALCOHOL; DEXTROSE
23230,AMNESTROGEN,"ESTROGENS, ESTERIFIED"
23234,PENTOBARBITAL SODIUM,PENTOBARBITAL SODIUM
23244,AEROSEB-DEX,DEXAMETHASONE
23259,BUTABARBITAL SODIUM,BUTABARBITAL SODIUM
23263,MAXIDEX,DEXAMETHASONE SODIUM PHOSPHATE
23273,PREDNISOLONE TEBUTATE,PREDNISOLONE TEBUTATE
23275,FERNISONE,PREDNISONE
23280,EVEX,"ESTROGENS, ESTERIFIED"
23281,ARISTOGEL,TRIAMCINOLONE ACETONIDE
23282,ANTAGONATE,CHLORPHENIRAMINE MALEATE
23283,DIUCARDIN,HYDROFLUMETHIAZIDE
23291,ESTRONE,ESTRONE
23295,ESTERIFIED ESTROGENS,"ESTROGENS, ESTERIFIED"
23299,TRICHLOREX,TRICHLORMETHIAZIDE
23304,S.A.S.-500,SULFASALAZINE
23310,VENTAIRE,PROTOKYLOL HYDROCHLORIDE
23313,TRICHLORMETHIAZIDE,TRICHLORMETHIAZIDE
23317,ALCOHOL 5% IN DEXTROSE 5%,ALCOHOL
23318,SODIUM BUTABARBITAL,BUTABARBITAL SODIUM
23320,ESTROGENIC SUBSTANCE,ESTRONE
23323,GVS,GENTIAN VIOLET
23324,DV,DIENESTROL
23339,PROPHENE 65,PROPOXYPHENE HYDROCHLORIDE
23340,KESSO-GESIC,PROPOXYPHENE HYDROCHLORIDE
23347,PROCAPAN,PROCAINAMIDE HYDROCHLORIDE
23353,DELCOBESE,AMPHETAMINE ADIPATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE ADIPATE; DEXTROAMPHETAMINE SULFATE
23362,HYDROCHLOROTHIAZIDE W/ RESERPINE,HYDROCHLOROTHIAZIDE; RESERPINE
23369,QUINORA,QUINIDINE SULFATE
23371,NAPHAZOLINE HYDROCHLORIDE,NAPHAZOLINE HYDROCHLORIDE
23390,KLOROMIN,CHLORPHENIRAMINE MALEATE
23394,ENDEP,AMITRIPTYLINE HYDROCHLORIDE
23400,CAPITAL AND CODEINE,ACETAMINOPHEN; CODEINE PHOSPHATE
23403,ADPHEN,PHENDIMETRAZINE TARTRATE
23427,PHYTONADIONE,PHYTONADIONE
23432,PYRIDAMAL 100,CHLORPHENIRAMINE MALEATE
23434,DEXAMPEX,DEXTROAMPHETAMINE SULFATE
23440,PROBENECID,PROBENECID
23445,TRIAMCINOLONE,TRIAMCINOLONE
23447,METRA,PHENDIMETRAZINE TARTRATE
23454,HYDROCHLOROTHIAZIDE W/ RESERPINE AND HYDRALAZINE,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE
23460,PROPOXYPHENE HYDROCHLORIDE 65,PROPOXYPHENE HYDROCHLORIDE
23464,MELFIAT,PHENDIMETRAZINE TARTRATE
23481,NICOLAR,NIACIN
23482,PRAMINE,IMIPRAMINE HYDROCHLORIDE
23486,METRETON,PREDNISOLONE SODIUM PHOSPHATE
23499,HYDROSERPINE PLUS (R-H-H),HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE
23501,METHAMPEX,METHAMPHETAMINE HYDROCHLORIDE
23502,HYDRO-D,HYDROCHLOROTHIAZIDE
23503,EXSEL,SELENIUM SULFIDE
23508,BENZEDRINE,AMPHETAMINE SULFATE
23510,AMPHETAMINE SULFATE,AMPHETAMINE SULFATE
23515,LIDOCAINE HYDROCHLORIDE 5% AND DEXTROSE 7.5%,LIDOCAINE HYDROCHLORIDE
23517,ELIXOPHYLLIN,THEOPHYLLINE
23518,CAM-METRAZINE,PHENDIMETRAZINE TARTRATE
23520,ZIDE,HYDROCHLOROTHIAZIDE
23522,AMITRIL,AMITRIPTYLINE HYDROCHLORIDE
23525,FERNISOLONE-P,PREDNISOLONE
23528,CALMURID HC,HYDROCORTISONE; UREA
23530,EMPRACET W/ CODEINE PHOSPHATE #3,ACETAMINOPHEN; CODEINE PHOSPHATE
23531,EMPRACET W/ CODEINE PHOSPHATE #4,ACETAMINOPHEN; CODEINE PHOSPHATE
23542,TESTRED,METHYLTESTOSTERONE
23548,ZIPAN-25,PROMETHAZINE HYDROCHLORIDE
23549,ZIPAN-50,PROMETHAZINE HYDROCHLORIDE
23551,FERNDEX,DEXTROAMPHETAMINE SULFATE
23558,CHLOROTHIAZIDE,CHLOROTHIAZIDE
23561,AMOSENE,MEPROBAMATE
23563,TORA,PHENTERMINE HYDROCHLORIDE
23566,OCTOCAINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
23569,DEXTROSTAT,DEXTROAMPHETAMINE SULFATE
23576,TRIAMCINOLONE DIACETATE,TRIAMCINOLONE DIACETATE
23584,VELTANE,BROMPHENIRAMINE MALEATE
23589,CRYSTODIGIN,DIGITOXIN
23592,CYCLOGYL,CYCLOPENTOLATE HYDROCHLORIDE
23611,SULFISOXAZOLE DIOLAMINE,SULFISOXAZOLE DIOLAMINE
23612,BENOXINATE HYDROCHLORIDE,BENOXINATE HYDROCHLORIDE
23613,CYCLOPENTOLATE HYDROCHLORIDE,CYCLOPENTOLATE HYDROCHLORIDE
23631,MYOTONACHOL,BETHANECHOL CHLORIDE
23670,COL-PROBENECID,COLCHICINE; PROBENECID
23678,"HYDRALAZINE HYDROCHLORIDE, HYDROCHLOROTHIAZIDE AND RESERPINE",HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE
23681,CYCLOMYDRIL,CYCLOPENTOLATE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE
23682,DRALZINE,HYDRALAZINE HYDROCHLORIDE
23689,DEXAMETHASONE ACETATE,DEXAMETHASONE ACETATE
23705,PHENYLBUTAZONE,PHENYLBUTAZONE
23708,DEXACEN-4,DEXAMETHASONE SODIUM PHOSPHATE
23730,NITROFURAZONE,NITROFURAZONE
23731,SELENIUM SULFIDE,SELENIUM SULFIDE
23747,PROMAPAR,CHLORPROMAZINE HYDROCHLORIDE
23749,DILANTIN,PHENYTOIN
23752,ESTRAGUARD,DIENESTROL
23764,PHENAPHEN W/ CODEINE NO. 2,ACETAMINOPHEN; CODEINE PHOSPHATE
23765,PHENAPHEN W/ CODEINE NO. 3,ACETAMINOPHEN; CODEINE PHOSPHATE
23766,PHENAPHEN W/ CODEINE NO. 4,ACETAMINOPHEN; CODEINE PHOSPHATE
23770,ETHCHLORVYNOL,ETHCHLORVYNOL
23780,DOMEBORO,"ACETIC ACID, GLACIAL; ALUMINUM ACETATE"
23794,PROMAZINE HYDROCHLORIDE,PROMAZINE HYDROCHLORIDE
23795,DILOR,DYPHYLLINE
23801,BENZYL BENZOATE,BENZYL BENZOATE
23814,COMPOUND 65,ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
23818,THEOLIXIR,THEOPHYLLINE
23822,LUFYLLIN,DYPHYLLINE
23830,LANOPHYLLIN,THEOPHYLLINE
23831,RESERPINE AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; RESERPINE
23853,DRALSERP,HYDRALAZINE HYDROCHLORIDE; RESERPINE
23859,HYDROXOMIN,HYDROXOCOBALAMIN
23863,CHLORDIAZACHEL,CHLORDIAZEPOXIDE HYDROCHLORIDE
23870,CHLOROTRIANISENE,CHLOROTRIANISENE
23871,PREDNICEN-M,PREDNISONE
23880,CHLORPROPAMIDE,CHLORPROPAMIDE
23890,ISOCAINE HYDROCHLORIDE W/ LEVONORDEFRIN,LEVONORDEFRIN; MEPIVACAINE HYDROCHLORIDE
23900,OGEN,ESTROPIPATE
23902,HYDRO-RESERP,HYDROCHLOROTHIAZIDE; RESERPINE
23905,SARISOL NO. 1,BUTABARBITAL SODIUM
23906,SARISOL NO. 2,BUTABARBITAL SODIUM
23907,ALPHACAINE HYDROCHLORIDE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
23908,ALPHACAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE
23909,SARISOL,BUTABARBITAL SODIUM
23910,THEOPHYL-225,THEOPHYLLINE
23911,LIDOCATON,LIDOCAINE HYDROCHLORIDE
23912,LIDOCATON,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
23918,APRESAZIDE,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
23919,CINNASIL,RESCINNAMINE
23920,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE
23932,DILOR-400,DYPHYLLINE
23946,PROMETH FORTIS,PROMETHAZINE HYDROCHLORIDE
23952,ARESTOCAINE HYDROCHLORIDE,MEPIVACAINE HYDROCHLORIDE
23964,"HYDRO-SERP ""25""",HYDROCHLOROTHIAZIDE; RESERPINE
23971,MEPIVACAINE HYDROCHLORIDE W/ LEVONORDEFRIN,LEVONORDEFRIN; MEPIVACAINE HYDROCHLORIDE
23972,CHLOROTHIAZIDE W/ RESERPINE,CHLOROTHIAZIDE; RESERPINE
23975,CIRCANOL,ERGOLOID MESYLATES
23978,MERSALYL-THEOPHYLLINE,MERSALYL SODIUM; THEOPHYLLINE
23979,HYDRAP-ES,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE
23985,CAM-AP-ES,HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE
23987,PROMETHACON,PROMETHAZINE HYDROCHLORIDE
23991,TRIACET,TRIAMCINOLONE ACETONIDE
24003,HYDROXOCOBALAMIN,HYDROXOCOBALAMIN
24013,CIN-QUIN,QUINIDINE SULFATE
24018,ALPHACAINE,LIDOCAINE
24021,MENEST,"ESTROGENS, ESTERIFIED"
24025,SULFALAR,SULFISOXAZOLE
24035,MICRAININ,ASPIRIN; MEPROBAMATE
24037,GAMENE,LINDANE
24039,DEXONE 1.5,DEXAMETHASONE
24040,DEXONE 0.5,DEXAMETHASONE
24041,DEXONE 4,DEXAMETHASONE
24042,DEXONE 0.75,DEXAMETHASONE
